mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_model__colsample_bytree,param_model__learning_rate,param_model__max_depth,param_model__n_estimators,param_model__subsample,params,split0_test_score,split1_test_score,split2_test_score,split3_test_score,split4_test_score,mean_test_score,std_test_score,rank_test_score,split0_train_score,split1_train_score,split2_train_score,split3_train_score,split4_train_score,mean_train_score,std_train_score
0.19669246673583984,0.015552065099420758,0.017246818542480467,0.0006251184307463874,0.8,0.05,3,200,0.8,"{'model__colsample_bytree': 0.8, 'model__learning_rate': 0.05, 'model__max_depth': 3, 'model__n_estimators': 200, 'model__subsample': 0.8}",0.542713567839196,0.5077720207253886,0.5858585858585859,0.4973544973544973,0.5531914893617021,0.5373780322278741,0.03196027755814748,32,0.6458072590738423,0.6552984165651644,0.6493184634448576,0.664179104477612,0.6691266912669127,0.6567459869656778,0.008780118547596492
0.16558437347412108,0.0033671560966849067,0.0166628360748291,0.0002679263935240397,0.8,0.05,3,200,1.0,"{'model__colsample_bytree': 0.8, 'model__learning_rate': 0.05, 'model__max_depth': 3, 'model__n_estimators': 200, 'model__subsample': 1.0}",0.5742574257425742,0.5538461538461539,0.5759162303664922,0.5077720207253886,0.5454545454545454,0.5514492752270308,0.024771871131173167,29,0.6301020408163265,0.6583229036295369,0.6286438529784537,0.6633291614518148,0.6261089987325729,0.6413013915217409,0.01607110487419048
0.30776271820068357,0.015240318581673032,0.020266294479370117,0.00042292453418458625,0.8,0.05,3,400,0.8,"{'model__colsample_bytree': 0.8, 'model__learning_rate': 0.05, 'model__max_depth': 3, 'model__n_estimators': 400, 'model__subsample': 0.8}",0.6037735849056604,0.5435897435897435,0.6310679611650486,0.5771144278606966,0.5625,0.5836091435042298,0.030816468685047862,26,0.7399527186761229,0.7720504009163803,0.7612456747404844,0.7782909930715936,0.7494145199063232,0.7601908614621808,0.014107360009252149
0.31699318885803224,0.025018105820023413,0.028992748260498045,0.008052730454701592,0.8,0.05,3,400,1.0,"{'model__colsample_bytree': 0.8, 'model__learning_rate': 0.05, 'model__max_depth': 3, 'model__n_estimators': 400, 'model__subsample': 1.0}",0.5781990521327014,0.5757575757575758,0.6146341463414634,0.5472636815920398,0.6091370558375635,0.5849983023322688,0.024562105383049607,22,0.7326266195524146,0.7537922987164527,0.7389277389277389,0.7685185185185185,0.7289940828402367,0.7445718517110722,0.014667453477644072
0.4807106971740723,0.09252620183723904,0.03410177230834961,0.009022552225768057,0.8,0.05,5,200,0.8,"{'model__colsample_bytree': 0.8, 'model__learning_rate': 0.05, 'model__max_depth': 5, 'model__n_estimators': 200, 'model__subsample': 0.8}",0.6511627906976745,0.624390243902439,0.6146341463414634,0.6220095693779905,0.62,0.6264393500639135,0.012774180004459346,19,0.8777292576419214,0.8705114254624592,0.8764769065520945,0.8797399783315276,0.8814655172413793,0.8771846170458764,0.0037465971551508374
0.42026634216308595,0.06419046429300863,0.03461141586303711,0.01036522920013492,0.8,0.05,5,200,1.0,"{'model__colsample_bytree': 0.8, 'model__learning_rate': 0.05, 'model__max_depth': 5, 'model__n_estimators': 200, 'model__subsample': 1.0}",0.6285714285714286,0.6403940886699507,0.6666666666666666,0.6069651741293532,0.6432160804020101,0.6371626876878819,0.01951035545325872,14,0.835016835016835,0.8649835345773875,0.8612021857923498,0.8514412416851441,0.8501664816870145,0.8525620557517462,0.010428564170034746
0.5550822257995606,0.0653801979585686,0.02551727294921875,0.0004108239898298748,0.8,0.05,5,400,0.8,"{'model__colsample_bytree': 0.8, 'model__learning_rate': 0.05, 'model__max_depth': 5, 'model__n_estimators': 400, 'model__subsample': 0.8}",0.6909090909090909,0.6728971962616822,0.6883720930232559,0.6476190476190476,0.6854460093896714,0.6770486874405497,0.0159636079458872,9,0.9696969696969697,0.9645390070921985,0.9698189134808853,0.970912738214644,0.9666329625884732,0.9683201182146342,0.002366731127360708
0.4674881935119629,0.003909553708437824,0.02456011772155762,0.0005097966522769726,0.8,0.05,5,400,1.0,"{'model__colsample_bytree': 0.8, 'model__learning_rate': 0.05, 'model__max_depth': 5, 'model__n_estimators': 400, 'model__subsample': 1.0}",0.6909090909090909,0.6698113207547169,0.7009345794392523,0.6285714285714286,0.6896551724137931,0.6759763184176564,0.025761383160334102,11,0.9507186858316222,0.9354166666666667,0.9517948717948718,0.9551020408163265,0.9549180327868853,0.9495900595792743,0.007290943648627781
0.17928247451782225,0.012225908131848639,0.018982791900634767,0.0024309753410310807,0.8,0.1,3,200,0.8,"{'model__colsample_bytree': 0.8, 'model__learning_rate': 0.1, 'model__max_depth': 3, 'model__n_estimators': 200, 'model__subsample': 0.8}",0.6190476190476191,0.5360824742268041,0.6220095693779905,0.5742574257425742,0.5670103092783505,0.5836814795346676,0.032717616994447425,25,0.7537922987164527,0.76905311778291,0.7701149425287356,0.7876712328767124,0.7570093457943925,0.7675281875398406,0.011950562016041976
0.16412687301635742,0.0061086716238577966,0.01948237419128418,0.0026208735173011213,0.8,0.1,3,200,1.0,"{'model__colsample_bytree': 0.8, 'model__learning_rate': 0.1, 'model__max_depth': 3, 'model__n_estimators': 200, 'model__subsample': 1.0}",0.6037735849056604,0.5728643216080402,0.6048780487804878,0.5226130653266332,0.6161616161616161,0.5840581273564875,0.0339222620794145,24,0.7423887587822015,0.7534883720930232,0.7441860465116279,0.7704728950403691,0.7294398092967819,0.7479951763448007,0.013606366682875232
