mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_model__class_weight,param_model__max_depth,param_model__min_samples_leaf,param_model__min_samples_split,param_model__n_estimators,params,split0_test_score,split1_test_score,split2_test_score,split3_test_score,split4_test_score,mean_test_score,std_test_score,rank_test_score,split0_train_score,split1_train_score,split2_train_score,split3_train_score,split4_train_score,mean_train_score,std_train_score
1.4555383205413819,0.03855397107539459,0.09353432655334473,0.010092858635962328,,,1,2,200,"{'model__class_weight': None, 'model__max_depth': None, 'model__min_samples_leaf': 1, 'model__min_samples_split': 2, 'model__n_estimators': 200}",0.7177033492822966,0.6358974358974359,0.696078431372549,0.6435643564356436,0.6458333333333334,0.6678153812642517,0.03279538756382548,4,1.0,1.0,1.0,1.0,1.0,1.0,0.0
3.2899194717407227,0.5139809234493147,0.1911756992340088,0.019618425832551138,,,1,2,400,"{'model__class_weight': None, 'model__max_depth': None, 'model__min_samples_leaf': 1, 'model__min_samples_split': 2, 'model__n_estimators': 400}",0.7230046948356808,0.6185567010309279,0.6896551724137931,0.6763285024154589,0.6802030456852792,0.677549623276228,0.03376804558180548,1,1.0,1.0,1.0,1.0,1.0,1.0,0.0
1.3397684574127198,0.04537942938508448,0.09922904968261718,0.02327257157195488,,,1,10,200,"{'model__class_weight': None, 'model__max_depth': None, 'model__min_samples_leaf': 1, 'model__min_samples_split': 10, 'model__n_estimators': 200}",0.6305418719211823,0.5274725274725275,0.5591397849462365,0.5549738219895288,0.5444444444444444,0.5633144901547839,0.03534753366845502,19,0.8574610244988864,0.8478015783540023,0.832579185520362,0.8312570781426953,0.8333333333333334,0.8404864399698558,0.010397312121231765
3.0001049041748047,0.36267688054038877,0.1939338207244873,0.054595644286362106,,,1,10,400,"{'model__class_weight': None, 'model__max_depth': None, 'model__min_samples_leaf': 1, 'model__min_samples_split': 10, 'model__n_estimators': 400}",0.6138613861386139,0.5303867403314917,0.5714285714285714,0.5445026178010471,0.5393258426966292,0.5599010316792706,0.030252758457528214,20,0.8637873754152824,0.8542600896860987,0.8491620111731844,0.8329571106094809,0.832,0.8464333173768093,0.012327175380873126
1.3133797645568848,0.13436228342566006,0.09409141540527344,0.002293695013063754,,,5,2,200,"{'model__class_weight': None, 'model__max_depth': None, 'model__min_samples_leaf': 5, 'model__min_samples_split': 2, 'model__n_estimators': 200}",0.5531914893617021,0.44571428571428573,0.5280898876404494,0.47513812154696133,0.4294478527607362,0.48631632740482694,0.047381049176868854,27,0.6828025477707006,0.7189054726368159,0.7063197026022305,0.6852085967130215,0.6457516339869281,0.6877975907419394,0.024941069614438337
2.83981032371521,0.48739167689932233,0.18128137588500975,0.058202947381786295,,,5,2,400,"{'model__class_weight': None, 'model__max_depth': None, 'model__min_samples_leaf': 5, 'model__min_samples_split': 2, 'model__n_estimators': 400}",0.5638297872340425,0.43529411764705883,0.5168539325842697,0.4946236559139785,0.47058823529411764,0.4962379457346935,0.04328588617630657,23,0.6844783715012722,0.7187112763320942,0.7128712871287128,0.6877370417193426,0.6580310880829016,0.6923658129528647,0.021803983578802037
1.3549309730529786,0.21482160814305729,0.08681540489196778,0.008617838843797264,,,5,10,200,"{'model__class_weight': None, 'model__max_depth': None, 'model__min_samples_leaf': 5, 'model__min_samples_split': 10, 'model__n_estimators': 200}",0.5531914893617021,0.44571428571428573,0.5280898876404494,0.47513812154696133,0.4294478527607362,0.48631632740482694,0.047381049176868854,27,0.6828025477707006,0.7189054726368159,0.7063197026022305,0.6852085967130215,0.6457516339869281,0.6877975907419394,0.024941069614438337
2.746623468399048,0.43342224610107183,0.15477366447448732,0.011496477624685633,,,5,10,400,"{'model__class_weight': None, 'model__max_depth': None, 'model__min_samples_leaf': 5, 'model__min_samples_split': 10, 'model__n_estimators': 400}",0.5638297872340425,0.43529411764705883,0.5168539325842697,0.4946236559139785,0.47058823529411764,0.4962379457346935,0.04328588617630657,23,0.6844783715012722,0.7187112763320942,0.7128712871287128,0.6877370417193426,0.6580310880829016,0.6923658129528647,0.021803983578802037
1.4836110115051269,0.34065352460012116,0.11170797348022461,0.03842906539681144,,10,1,2,200,"{'model__class_weight': None, 'model__max_depth': 10, 'model__min_samples_leaf': 1, 'model__min_samples_split': 2, 'model__n_estimators': 200}",0.59375,0.5084745762711864,0.5683060109289617,0.5454545454545454,0.49122807017543857,0.5414426405660263,0.037635600810683664,22,0.8235294117647058,0.8395904436860068,0.8279816513761468,0.8198614318706697,0.7957497048406139,0.8213425287076286,0.014415499226177134
2.5481065273284913,0.17151700271310089,0.1615828037261963,0.00868660591881535,,10,1,2,400,"{'model__class_weight': None, 'model__max_depth': 10, 'model__min_samples_leaf': 1, 'model__min_samples_split': 2, 'model__n_estimators': 400}",0.59375,0.5193370165745856,0.5698924731182796,0.5268817204301075,0.5257142857142857,0.5471150991674517,0.029436810438223708,21,0.8275862068965517,0.8289322617680827,0.8346636259977195,0.825287356321839,0.809801633605601,0.8252542169179587,0.008322098288959487
1.590310287475586,0.3785126550205709,0.10130128860473633,0.02841191333923598,,10,1,10,200,"{'model__class_weight': None, 'model__max_depth': 10, 'model__min_samples_leaf': 1, 'model__min_samples_split': 10, 'model__n_estimators': 200}",0.5434782608695652,0.4418604651162791,0.5251396648044693,0.5108695652173914,0.43902439024390244,0.4920744692503214,0.04341582586117868,25,0.7358024691358025,0.7404674046740467,0.7153465346534653,0.7234567901234568,0.6821106821106822,0.7194367761394908,0.020670032061420478
