mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_model__class_weight,param_model__max_depth,param_model__min_samples_leaf,param_model__min_samples_split,params,split0_test_score,split1_test_score,split2_test_score,split3_test_score,split4_test_score,mean_test_score,std_test_score,rank_test_score,split0_train_score,split1_train_score,split2_train_score,split3_train_score,split4_train_score,mean_train_score,std_train_score
0.09253582954406739,0.01763030601498802,0.0191678524017334,0.007169897353770995,,,1,2,"{'model__class_weight': None, 'model__max_depth': None, 'model__min_samples_leaf': 1, 'model__min_samples_split': 2}",0.6415094339622641,0.6720647773279352,0.7018867924528301,0.6642066420664207,0.7272727272727273,0.6813880746164355,0.029993433479845767,1,1.0,1.0,1.0,1.0,1.0,1.0,0.0
0.08717727661132812,0.019458212785002257,0.021646881103515626,0.0069227181802611875,,,1,10,"{'model__class_weight': None, 'model__max_depth': None, 'model__min_samples_leaf': 1, 'model__min_samples_split': 10}",0.5984848484848485,0.6584362139917695,0.6190476190476191,0.6468401486988847,0.6857142857142857,0.6417046231874816,0.030412033509069084,3,0.8921859545004945,0.8895582329317269,0.866734486266531,0.9074626865671642,0.8884381338742393,0.8888758988280312,0.013017868606010615
0.08400821685791016,0.017641797244877144,0.021588802337646484,0.007420742631543211,,,5,2,"{'model__class_weight': None, 'model__max_depth': None, 'model__min_samples_leaf': 5, 'model__min_samples_split': 2}",0.6352941176470588,0.6094420600858369,0.6016260162601627,0.5863453815261044,0.6666666666666666,0.6198748484371659,0.028260630623316997,4,0.8252032520325203,0.8249496981891348,0.8036437246963563,0.8225641025641026,0.8221105527638191,0.8196942660491866,0.008119886383081221
0.05222511291503906,0.004922482992596336,0.012825250625610352,0.0017766741737552875,,,5,10,"{'model__class_weight': None, 'model__max_depth': None, 'model__min_samples_leaf': 5, 'model__min_samples_split': 10}",0.6352941176470588,0.6094420600858369,0.6016260162601627,0.5863453815261044,0.6666666666666666,0.6198748484371659,0.028260630623316997,4,0.8252032520325203,0.8249496981891348,0.8036437246963563,0.8225641025641026,0.8221105527638191,0.8196942660491866,0.008119886383081221
0.03330516815185547,0.0022439663579512654,0.012787389755249023,0.0021246670166370435,,5,1,2,"{'model__class_weight': None, 'model__max_depth': 5, 'model__min_samples_leaf': 1, 'model__min_samples_split': 2}",0.4731182795698925,0.47959183673469385,0.5025641025641026,0.5110132158590308,0.5617021276595745,0.5055979124774589,0.031360660081875436,21,0.5034199726402189,0.549618320610687,0.5717821782178217,0.5921787709497207,0.601081081081081,0.5636160646999059,0.034944663082044435
0.033974409103393555,0.0020532021113262517,0.012463092803955078,0.0009829987434105793,,5,1,10,"{'model__class_weight': None, 'model__max_depth': 5, 'model__min_samples_leaf': 1, 'model__min_samples_split': 10}",0.4731182795698925,0.47715736040609136,0.48704663212435234,0.5110132158590308,0.5546218487394958,0.5005914673397726,0.030050926546212862,22,0.4993141289437586,0.5482233502538071,0.5682382133995038,0.5921787709497207,0.6006458557588805,0.5617200638611342,0.03622733326340607
0.03568997383117676,0.0023008556761481484,0.014645147323608398,0.0031539175594833884,,5,5,2,"{'model__class_weight': None, 'model__max_depth': 5, 'model__min_samples_leaf': 5, 'model__min_samples_split': 2}",0.4731182795698925,0.48484848484848486,0.4845360824742268,0.5110132158590308,0.5485232067510548,0.500407853900538,0.02707873277262164,23,0.4951856946354883,0.5475285171102662,0.5603985056039851,0.5930880713489409,0.5926724137931034,0.5577746404983568,0.03603924759528732
0.03284859657287598,0.0017643607424659587,0.011682415008544922,0.00024811705486517215,,5,5,10,"{'model__class_weight': None, 'model__max_depth': 5, 'model__min_samples_leaf': 5, 'model__min_samples_split': 10}",0.4731182795698925,0.48484848484848486,0.4845360824742268,0.5110132158590308,0.5485232067510548,0.500407853900538,0.02707873277262164,23,0.4951856946354883,0.5475285171102662,0.5603985056039851,0.5930880713489409,0.5926724137931034,0.5577746404983568,0.03603924759528732
0.044816017150878906,0.0016833252180288986,0.012320327758789062,0.0008390198972448577,,10,1,2,"{'model__class_weight': None, 'model__max_depth': 10, 'model__min_samples_leaf': 1, 'model__min_samples_split': 2}",0.5714285714285714,0.6082949308755761,0.6044444444444445,0.6126126126126126,0.5797101449275363,0.5952981408577481,0.016523342967281862,8,0.8272017837235228,0.8401323042998897,0.8590021691973969,0.8095781071835804,0.7981438515081206,0.8268116431825021,0.021599348276619447
0.044103813171386716,0.001687136001501281,0.011918020248413087,0.0004671701035490817,,10,1,10,"{'model__class_weight': None, 'model__max_depth': 10, 'model__min_samples_leaf': 1, 'model__min_samples_split': 10}",0.6008583690987125,0.5753424657534246,0.5535714285714286,0.5945945945945946,0.5714285714285714,0.5791590858893464,0.016959772822178,10,0.7973421926910299,0.7853982300884956,0.8013172338090011,0.7748571428571429,0.7566938300349243,0.7831217258961187,0.0161568416955116
0.047540712356567386,0.004295444665853208,0.01165013313293457,0.00028447080990828995,,10,5,2,"{'model__class_weight': None, 'model__max_depth': 10, 'model__min_samples_leaf': 5, 'model__min_samples_split': 2}",0.5957446808510638,0.5650224215246636,0.543859649122807,0.5818181818181818,0.6027397260273972,0.5778369318688226,0.02133239039506738,11,0.7535911602209945,0.7568157033805889,0.7592190889370932,0.7416762342135477,0.734375,0.7491354373504449,0.009529220368191137
