mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_model__estimator__max_depth,param_model__max_samples,param_model__n_estimators,params,split0_test_score,split1_test_score,split2_test_score,split3_test_score,split4_test_score,mean_test_score,std_test_score,rank_test_score,split0_train_score,split1_train_score,split2_train_score,split3_train_score,split4_train_score,mean_train_score,std_train_score
1.5292138576507568,0.39514930113531144,0.0476078987121582,0.015728868281786126,,0.7,50,"{'model__estimator__max_depth': None, 'model__max_samples': 0.7, 'model__n_estimators': 50}",0.6727272727272727,0.6728971962616822,0.6788990825688074,0.6824644549763034,0.6730769230769231,0.6760129859221978,0.0039768210482478555,3,0.9851042701092354,0.9810568295114656,0.981094527363184,0.9780876494023905,0.9850746268656716,0.9820835806503894,0.002685920070057367
2.3876808166503904,0.41763587572347144,0.07841501235961915,0.04137296794793427,,0.7,100,"{'model__estimator__max_depth': None, 'model__max_samples': 0.7, 'model__n_estimators': 100}",0.6972477064220184,0.6543778801843319,0.6790697674418604,0.6476190476190476,0.6886792452830188,0.6733987293900554,0.0192915175179794,4,0.9881188118811881,0.9850746268656716,0.9891411648568608,0.9891411648568608,0.9900990099009901,0.9883149556723143,0.0017370259575532952
1.8212661743164062,0.3443976169736932,0.041395950317382815,0.01315610536690435,,1.0,50,"{'model__estimator__max_depth': None, 'model__max_samples': 1.0, 'model__n_estimators': 50}",0.7354260089686099,0.7224669603524229,0.7387387387387387,0.7004608294930875,0.7713004484304933,0.7336785971966705,0.023122210372379458,1,0.9980353634577603,0.9980353634577603,0.9990205680705191,0.9990205680705191,1.0,0.9988223726113118,0.0007354095406284773
3.02846245765686,0.5038768753437352,0.05563998222351074,0.000629810536710836,,1.0,100,"{'model__estimator__max_depth': None, 'model__max_samples': 1.0, 'model__n_estimators': 100}",0.7433628318584071,0.7149321266968326,0.7207207207207207,0.7031963470319634,0.7488584474885844,0.7262140947593017,0.017286541393535745,2,1.0,1.0,1.0,1.0,1.0,1.0,0.0
0.5858283042907715,0.012058856497125842,0.03243932723999023,0.0014912976928571676,5,0.7,50,"{'model__estimator__max_depth': 5, 'model__max_samples': 0.7, 'model__n_estimators': 50}",0.5204081632653061,0.4791666666666667,0.4842105263157895,0.4656084656084656,0.5054945054945055,0.4909776654701467,0.0195232323730261,12,0.5688073394495413,0.5979381443298969,0.5747724317295189,0.5956354300385109,0.5695708712613784,0.5813448433617692,0.01279508126287587
1.2332714557647706,0.20551418623623519,0.06775522232055664,0.020261515069602155,5,0.7,100,"{'model__estimator__max_depth': 5, 'model__max_samples': 0.7, 'model__n_estimators': 100}",0.5252525252525253,0.5051546391752577,0.48936170212765956,0.46632124352331605,0.4861878453038674,0.4944555910765252,0.019742166152118754,10,0.5702917771883289,0.5987096774193549,0.5792207792207792,0.5951468710089399,0.5858064516129032,0.5858351112900613,0.010371198264208332
1.023109531402588,0.15814773249842703,0.051583719253540036,0.005885531276251358,5,1.0,50,"{'model__estimator__max_depth': 5, 'model__max_samples': 1.0, 'model__n_estimators': 50}",0.5128205128205128,0.4897959183673469,0.4842105263157895,0.4631578947368421,0.5108695652173914,0.49217088349157656,0.018367412185147602,11,0.5654450261780105,0.6045918367346939,0.5873221216041398,0.6075949367088608,0.5903307888040712,0.5910569420059553,0.015014293579090007
1.349952268600464,0.06478905164396827,0.05460371971130371,0.0028498894094240394,5,1.0,100,"{'model__estimator__max_depth': 5, 'model__max_samples': 1.0, 'model__n_estimators': 100}",0.5102040816326531,0.4895833333333333,0.5051546391752577,0.4607329842931937,0.5161290322580645,0.4963608141385005,0.01987473958000437,9,0.5706806282722513,0.5971685971685972,0.5948717948717949,0.6182728410513142,0.5972045743329097,0.5956396871393734,0.015103578197729365
0.9150837898254395,0.02044220881879398,0.0326876163482666,0.000715411414053002,10,0.7,50,"{'model__estimator__max_depth': 10, 'model__max_samples': 0.7, 'model__n_estimators': 50}",0.6509433962264151,0.5990338164251208,0.6220095693779905,0.6206896551724138,0.6435643564356436,0.6272481587275167,0.018407544576025992,7,0.8644444444444445,0.8631813125695217,0.8539576365663322,0.8361581920903954,0.8314350797266514,0.8498353330794689,0.013668710243061244
2.037319850921631,0.43534542975564405,0.05736560821533203,0.0042024910462451085,10,0.7,100,"{'model__estimator__max_depth': 10, 'model__max_samples': 0.7, 'model__n_estimators': 100}",0.631578947368421,0.5961538461538461,0.6350710900473934,0.6,0.62,0.6165607767139322,0.015941816374394634,8,0.8619153674832962,0.8526434195725534,0.8584169453734671,0.8484848484848485,0.8386363636363636,0.8520193889101059,0.008134456052939434
1.36324143409729,0.26235911308044446,0.04051485061645508,0.014926721469836049,10,1.0,50,"{'model__estimator__max_depth': 10, 'model__max_samples': 1.0, 'model__n_estimators': 50}",0.6572769953051644,0.6161137440758294,0.6305418719211823,0.6439024390243903,0.6857142857142857,0.6467098672081704,0.0238261089334998,5,0.8803512623490669,0.8716814159292036,0.8707182320441988,0.8606465997770345,0.8412698412698413,0.864933470273869,0.013379470453480181
2.0850695610046386,0.21696030614589454,0.04978899955749512,0.007361231064514469,10,1.0,100,"{'model__estimator__max_depth': 10, 'model__max_samples': 1.0, 'model__n_estimators': 100}",0.6572769953051644,0.6376811594202898,0.6341463414634146,0.6571428571428571,0.6341463414634146,0.6440787389590281,0.010799066797419106,6,0.881578947368421,0.8704318936877077,0.8719646799116998,0.8644444444444445,0.8451977401129943,0.8667235411050536,0.01208684326079929
